YYYYMM,Hydro,Coal,Gas,Diesel,Nuclear,RES,Small hydro,Wind,Biomass,Waste,Solar
194712,508,756,0,98,0,0,,,,,
195012,560,1004,0,149,0,0,,,,,
195603,1061,1597,0,228,0,0,,,,,
196103,1917,2436,0,300,0,0,,,,,
196603,4124,4417,134,352,0,0,,,,,
196903,5907,6640,134,276,0,0,,,,,
197403,6966,8652,165,241,640,0,,,,,
197903,10833,14875,168,164,640,0,,,,,
198003,11384,15991,268,165,640,0,,,,,
198503,14460,26311,542,177,1095,0,,,,,
199003,18307,41236,2343,165,1565,0,,,,,
199203,19194,44791,3095,168,1785,32,,,,,
199703,21658,54154,6562,294,2225,902,,,,,
200203,26269,62131,11163,1135,2720,1628,,,,,
200601,32135.05,68433.08,12662.61,1201.75,3310,6158.32,,,,,
200602,32135.05,68433.08,12662.61,1201.75,3310,6158.32,,,,,
200603,32325.77,68518.88,12689.91,1201.75,3360,6190.86,,,,,
200604,32325.77,68518.88,12704.71,1201.75,3360,6190.86,,,,,
200605,32325.77,68488.88,12704.71,1201.75,3360,6190.86,,,,,
200606,32725.77,68488.88,13581.71,1201.75,3900,6190.86,,,,,
200607,32975.77,68988.88,13581.71,1201.75,3900,6190.86,,,,,
200608,33130.77,68988.88,13581.71,1201.75,3900,6190.86,,,,,
200609,33349.77,69198.88,13581.71,1201.75,3900,6190.86,,,,,
200610,33599.77,69198.88,13581.71,1201.75,3900,6190.86,,,,,
200611,33599.77,69198.88,13581.71,1201.75,3900,6190.86,,,,,
200612,33641.77,69236.38,13581.71,1201.75,3900,6190.86,,6270,,,
200701,33941.77,69366.38,13581.71,1201.75,3900,6190.86,,,,,
200702,34085.77,69621.38,13581.71,1201.75,3900,6190.86,,,,,
200703,34653.77,71121.38,13691.71,1201.75,3900,7760.6,,,,,
200704,34653.77,70682.38,13691.71,1201.75,4120,7760.6,,,,,
200705,33485.76,71432.38,13691.71,1201.75,4120,10145.03,,,,,
200706,33485.76,71932.38,13801.71,1201.75,4120,10175.03,,,,,
200707,33775.76,71932.38,13801.71,1201.75,4120,10175.03,,,,,
200708,34130.76,71932.38,13841.71,1201.75,4120,10175.03,,,,,
200709,34260.76,72182.38,13841.71,1201.75,4120,10175.03,,,,,
200710,34390.76,72432.38,14581.71,1201.75,4120,10175.03,,,,,
200711,34680.76,73492.38,14581.71,1201.75,4120,10175.03,,,,,
200712,34680.76,74752.38,14691.71,1201.75,4120,10855.24,,,,,
200801,35208.76,75002.38,14691.71,1201.75,4120,10855.24,,,,,
200802,35378.76,75252.38,14691.71,1201.75,4120,10855.24,,,,,
200803,35908.76,76048.88,14656.21,1201.75,4120,11125.41,2045.07,7666.84,1325.63,85.75,
200804,35908.76,76298.88,14656.21,1201.75,4120,11125.41,,,,,
200805,36033.76,76298.88,14716.01,1201.75,4120,12194.57,,,,,
200806,36033.76,76648.88,14716.01,1199.75,4120,12194.57,,,,,
200807,36158.76,77198.88,14716.01,1199.75,4120,12194.57,,,,,
200808,36197.76,77198.88,14716.01,1199.75,4120,12194.57,,,,,
200809,36347.76,76988.88,14704.01,1199.75,4120,12194.57,,,,,
200810,36497.76,76988.88,14704.01,1199.75,4120,13242.41,,,,,
200811,36647.76,76988.88,14704.01,1199.75,4120,13242.41,,,,,
200812,36647.76,77458.88,14734.01,1199.75,4120,13242.41,,,,,
200901,36762.76,77398.88,14734.01,1199.75,4120,13242.41,,,,,
200902,36877.76,77398.88,14876.71,1199.75,4120,13242.41,,,,,
200903,36877.76,77648.88,14876.61,1199.75,4120,13242.41,2160.48,9344.13,1650.43,85.25,
200904,36877.76,77948.88,14876.61,1199.75,4120,13242.41,,,,,
200905,36877.76,77948.88,16003.11,1199.75,4120,13242.41,,,,,
200906,36916.76,78458.88,16385.61,1199.75,4120,13242.41,,,,,
200907,36916.76,79208.88,16385.61,1199.75,4120,13242.41,,,,,
200908,36916.76,80283.88,16385.61,1199.75,4120,13242.41,,,,,
200909,36885.4,80395.88,16448.85,1199.75,4120,13310.21,,,,,
200910,36885.4,81355.88,16822.85,1199.75,4120,13310.21,,,,,
200911,36885.4,81605.88,16822.85,1199.75,4120,15225.35,,,,,
200912,36885.4,81605.88,17055.85,1199.75,4120,15225.35,,,,,
201001,36885.4,82095.88,17055.85,1199.75,4120,15427.1,,,,,
201002,36863.4,82343.38,17055.85,1199.75,4340,15427.1,,,,,
201003,36863.4,84198.38,17055.85,1199.75,4560,15521.11,2604.92,10647.45,2167.73,95.01,11
201004,36863.4,84448.38,17055.85,1199.75,4560,15521.11,,,,,
201005,36913.4,85193.38,17055.85,1199.75,4560,16429.42,,,,,
201006,36953.4,86003.38,17220.85,1199.75,4560,16429.42,,,,,
201007,37033.4,87093.38,17353.85,1199.75,4560,16429.42,,,,,
201008,37086.4,87858.38,17374.85,1199.75,4560,16429.42,,,,,
201009,37328.4,87943.38,17374.85,1199.75,4560,16429.42,,,,,
201010,37328.4,89778.38,17624.85,1199.75,4560,16786.98,,,,,
201011,37367.4,89778.38,17384.85,1199.75,4560,16786.98,,,,,
201012,37367.4,92378.38,17456.35,1199.75,4560,16786.98,,,,,
201101,37367.4,92638.38,17456.35,1199.75,4780,16786.98,,,,,
201102,37367.4,92418.38,17706.35,1199.75,4780,18454.52,,,,,
201103,37567.4,93918.38,17706.35,1199.75,4780,18454.52,2913,12806.54,2600.13,102.46,36
201104,37567.4,94653.38,17706.35,1199.75,4780,18454.52,,,,,
201105,37817.4,94953.38,17706.35,1199.75,4780,18454.52,,,,,
201106,38106.4,96743.38,17706.35,1199.75,4780,18454.52,,,,,
201107,38106.4,98403.38,17706.35,1199.75,4780,20162.24,,,,,
201108,38206.4,99503.38,17706.35,1199.75,4780,20162.24,,,,,
201109,38706.4,99753.38,17742.85,1199.75,4780,20162.24,,,,,
201110,38706.4,100098.38,17742.85,1199.75,4780,20162.24,,,,,
201111,38748.4,102863.38,17742.85,1199.75,4780,20162.24,,,,,
201112,38748.4,104021.38,17742.85,1199.75,4780,20162.24,,,,,
201201,38848.4,104816.38,17742.85,1199.75,4780,20162.24,,,,,
201202,38848.4,105437.38,18093.85,1199.75,4780,22233.17,,,,,
201203,38990.4,112022.38,18381.05,1199.75,4780,24503.44,3410.52,16896.6,3135.33,119.68,1030
201204,38990.4,113782.38,18381.05,1199.75,4780,24503.45,,,,,
201205,39060.4,114782.38,18653.05,1199.75,4780,24503.45,,,,,
201206,39291.4,116333.38,18903.05,1199.75,4780,24832.68,,,,,
201207,39291.4,117283.38,18903.05,1199.75,4780,24998.46,,,,,
