YYYYMM,Hydro,Coal,Gas,Diesel,Nuclear,RES,Total
194712.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194801.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194802.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194803.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194804.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194805.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194806.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194807.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194808.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194809.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194810.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194811.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194812.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194901.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194902.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194903.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194904.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194905.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194906.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194907.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194908.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194909.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194910.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194911.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
194912.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195001.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195002.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195003.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195004.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195005.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195006.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195007.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195008.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195009.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195010.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195011.0,508.0,756.0,0.0,98.0,0.0,0.0,1362.0
195012.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195101.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195102.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195103.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195104.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195105.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195106.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195107.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195108.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195109.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195110.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195111.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195112.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195201.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195202.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195203.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195204.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195205.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195206.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195207.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195208.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195209.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195210.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195211.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195212.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195301.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195302.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195303.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195304.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195305.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195306.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195307.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195308.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195309.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195310.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195311.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195312.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195401.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195402.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195403.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195404.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195405.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195406.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195407.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195408.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195409.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195410.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195411.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195412.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195501.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195502.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195503.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195504.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195505.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195506.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195507.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195508.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195509.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195510.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195511.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195512.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195601.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195602.0,560.0,1004.0,0.0,149.0,0.0,0.0,1713.0
195603.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195604.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195605.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195606.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195607.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195608.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195609.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195610.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195611.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195612.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195701.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195702.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195703.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195704.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195705.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195706.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195707.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195708.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195709.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195710.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195711.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195712.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195801.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195802.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195803.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195804.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195805.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195806.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195807.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195808.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195809.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195810.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195811.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
195812.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
