Year,Population
1960.0,42.220
1960.1,42.319
1960.2,42.419
1960.3,42.519
1960.3,42.620
1960.4,42.720
1960.5,42.821
1960.6,42.922
1960.7,43.023
1960.8,43.124
1960.8,43.225
1960.9,43.327
1961.0,43.428
1961.1,43.530
1961.2,43.632
1961.3,43.734
1961.3,43.837
1961.4,43.939
1961.5,44.042
1961.6,44.145
1961.7,44.248
1961.8,44.351
1961.8,44.454
1961.9,44.558
1962.0,44.662
1962.1,44.766
1962.2,44.870
1962.3,44.974
1962.3,45.078
1962.4,45.183
1962.5,45.288
1962.6,45.393
1962.7,45.498
1962.8,45.603
1962.8,45.708
1962.9,45.814
1963.0,45.920
1963.1,46.026
1963.2,46.132
1963.3,46.238
1963.3,46.345
1963.4,46.451
1963.5,46.558
1963.6,46.665
1963.7,46.772
1963.8,46.880
1963.8,46.987
1963.9,47.095
1964.0,47.203
1964.1,47.311
1964.2,47.419
1964.3,47.527
1964.3,47.636
1964.4,47.744
1964.5,47.853
1964.6,47.962
1964.7,48.072
1964.8,48.181
1964.8,48.291
1964.9,48.400
1965.0,48.510
1965.1,48.620
1965.2,48.730
1965.3,48.841
1965.3,48.951
1965.4,49.062
1965.5,49.173
1965.6,49.284
1965.7,49.395
1965.8,49.507
1965.8,49.618
1965.9,49.730
1966.0,49.842
1966.1,49.954
1966.2,50.066
1966.3,50.179
1966.3,50.291
1966.4,50.404
1966.5,50.517
1966.6,50.630
1966.7,50.743
1966.8,50.857
1966.8,50.970
1966.9,51.084
1967.0,51.198
1967.1,51.312
1967.2,51.426
1967.3,51.541
1967.3,51.655
1967.4,51.770
1967.5,51.885
1967.6,52.000
1967.7,52.115
1967.8,52.231
1967.8,52.346
1967.9,52.462
1968.0,52.578
1968.1,52.694
1968.2,52.810
1968.3,52.927
1968.3,53.043
1968.4,53.160
1968.5,53.277
1968.6,53.394
1968.7,53.511
1968.8,53.629
1968.8,53.746
1968.9,53.864
1969.0,53.982
1969.1,54.100
1969.2,54.218
1969.3,54.336
1969.3,54.455
1969.4,54.573
1969.5,54.692
1969.6,54.811
1969.7,54.930
1969.8,55.050
1969.8,55.169
1969.9,55.289
1970.0,55.409
1970.1,55.529
1970.2,55.649
1970.3,55.769
1970.3,55.890
1970.4,56.010
1970.5,56.131
1970.6,56.252
1970.7,56.373
1970.8,56.494
1970.8,56.616
1970.9,56.737
1971.0,56.859
1971.1,56.981
1971.2,57.103
1971.3,57.225
1971.3,57.347
1971.4,57.470
1971.5,57.592
1971.6,57.715
1971.7,57.838
1971.8,57.961
1971.8,58.085
1971.9,58.208
1972.0,58.332
1972.1,58.455
1972.2,58.579
1972.3,58.703
1972.3,58.828
1972.4,58.952
1972.5,59.076
1972.6,59.201
1972.7,59.326
1972.8,59.451
1972.8,59.576
1972.9,59.701
1973.0,59.827
1973.1,59.952
1973.2,60.078
1973.3,60.204
1973.3,60.330
1973.4,60.456
1973.5,60.582
1973.6,60.709
1973.7,60.835
1973.8,60.962
1973.8,61.089
1973.9,61.216
1974.0,61.343
1974.1,61.471
1974.2,61.598
1974.3,61.726
1974.3,61.854
1974.4,61.982
1974.5,62.110
1974.6,62.238
1974.7,62.366
1974.8,62.495
1974.8,62.623
1974.9,62.752
1975.0,62.881
1975.1,63.010
1975.2,63.140
1975.3,63.269
1975.3,63.398
1975.4,63.528
1975.5,63.658
1975.6,63.788
1975.7,63.918
1975.8,64.048
1975.8,64.179
1975.9,64.309
1976.0,64.440
1976.1,64.570
1976.2,64.701
1976.3,64.832
1976.3,64.964
1976.4,65.095
1976.5,65.227
1976.6,65.358
1976.7,65.490
1976.8,65.622
1976.8,65.754
1976.9,65.886
1977.0,66.018
1977.1,66.151
1977.2,66.283
1977.3,66.416
1977.3,66.549
1977.4,66.682
1977.5,66.815
1977.6,66.948
1977.7,67.081
1977.8,67.215
1977.8,67.349
1977.9,67.482
1978.0,67.616
1978.1,67.750
1978.2,67.884
1978.3,68.019
1978.3,68.153
1978.4,68.288
1978.5,68.422
1978.6,68.557
1978.7,68.692
1978.8,68.827
1978.8,68.962
1978.9,69.097
1979.0,69.233
1979.1,69.368
1979.2,69.504
1979.3,69.640
1979.3,69.776
1979.4,69.912
1979.5,70.048
1979.6,70.184
1979.7,70.321
1979.8,70.457
1979.8,70.594
1979.9,70.731
1980.0,70.867
1980.1,71.004
1980.2,71.142
1980.3,71.279
1980.3,71.416
1980.4,71.554
1980.5,71.691
1980.6,71.829
1980.7,71.967
1980.8,72.105
1980.8,72.243
1980.9,72.381
1981.0,72.519
1981.1,72.658
1981.2,72.796
1981.3,72.935
1981.3,73.073
1981.4,73.212
1981.5,73.351
1981.6,73.490
1981.7,73.630
1981.8,73.769
1981.8,73.908
1981.9,74.048
1982.0,74.187
1982.1,74.327
1982.2,74.467
1982.3,74.607
1982.3,74.747
1982.4,74.887
1982.5,75.027
1982.6,75.168
1982.7,75.308
1982.8,75.449
1982.8,75.589
1982.9,75.730
1983.0,75.871
1983.1,76.012
1983.2,76.153
1983.3,76.294
1983.3,76.436
1983.4,76.577
1983.5,76.718
1983.6,76.860
1983.7,77.002
1983.8,77.144
1983.8,77.285
1983.9,77.427
1984.0,77.569
1984.1,77.712
1984.2,77.854
1984.3,77.996
1984.3,78.139
1984.4,78.281
1984.5,78.424
1984.6,78.567
1984.7,78.709
1984.8,78.852
1984.8,78.995
1984.9,79.138
1985.0,79.282
1985.1,79.425
1985.2,79.568
1985.3,79.712
1985.3,79.855
1985.4,79.999
1985.5,80.142
1985.6,80.286
1985.7,80.430
1985.8,80.574
1985.8,80.718
1985.9,80.862
1986.0,81.006
1986.1,81.151
1986.2,81.295
1986.3,81.439
1986.3,81.584
1986.4,81.729
1986.5,81.873
1986.6,82.018
1986.7,82.163
1986.8,82.308
1986.8,82.453
1986.9,82.598
1987.0,82.743
1987.1,82.888
1987.2,83.034
1987.3,83.179
1987.3,83.324
1987.4,83.470
1987.5,83.616
1987.6,83.761
1987.7,83.907
1987.8,84.053
1987.8,84.199
1987.9,84.345
1988.0,84.491
1988.1,84.637
1988.2,84.783
1988.3,84.929
1988.3,85.075
1988.4,85.222
1988.5,85.368
1988.6,85.514
1988.7,85.661
1988.8,85.808
1988.8,85.954
1988.9,86.101
1989.0,86.248
1989.1,86.395
1989.2,86.542
1989.3,86.688
1989.3,86.836
1989.4,86.983
1989.5,87.130
1989.6,87.277
1989.7,87.424
1989.8,87.571
1989.8,87.719
1989.9,87.866
1990.0,88.014
1990.1,88.161
1990.2,88.309
1990.3,88.456
1990.3,88.604
1990.4,88.752
1990.5,88.900
1990.6,89.047
1990.7,89.195
1990.8,89.343
1990.8,89.491
1990.9,89.639
1991.0,89.787
1991.1,89.935
1991.2,90.084
1991.3,90.232
1991.3,90.380
1991.4,90.528
1991.5,90.677
1991.6,90.825
1991.7,90.973
1991.8,91.122
1991.8,91.270
1991.9,91.419
1992.0,91.567
1992.1,91.716
1992.2,91.865
1992.3,92.013
1992.3,92.162
1992.4,92.311
1992.5,92.459
1992.6,92.608
1992.7,92.757
1992.8,92.906
1992.8,93.055
1992.9,93.204
1993.0,93.353
1993.1,93.502
1993.2,93.651
1993.3,93.800
1993.3,93.949
1993.4,94.098
1993.5,94.247
1993.6,94.396
1993.7,94.546
1993.8,94.695
1993.8,94.844
1993.9,94.993
1994.0,95.143
1994.1,95.292
1994.2,95.441
1994.3,95.591
1994.3,95.740
1994.4,95.889
1994.5,96.039
1994.6,96.188
1994.7,96.338
1994.8,96.487
1994.8,96.636
1994.9,96.786
1995.0,96.935
1995.1,97.085
1995.2,97.234
1995.3,97.384
1995.3,97.534
1995.4,97.683
1995.5,97.833
1995.6,97.982
1995.7,98.132
1995.8,98.281
1995.8,98.431
1995.9,98.581
1996.0,98.730
1996.1,98.880
1996.2,99.029
1996.3,99.179
1996.3,99.329
1996.4,99.478
1996.5,99.628
1996.6,99.778
1996.7,99.927
1996.8,100.077
1996.8,100.227
1996.9,100.376
1997.0,100.526
1997.1,100.676
1997.2,100.825
1997.3,100.975
1997.3,101.124
1997.4,101.274
1997.5,101.424
1997.6,101.573
1997.7,101.723
1997.8,101.872
1997.8,102.022
1997.9,102.172
1998.0,102.321
1998.1,102.471
1998.2,102.620
1998.3,102.770
1998.3,102.919
1998.4,103.069
1998.5,103.218
1998.6,103.368
1998.7,103.517
1998.8,103.667
1998.8,103.816
1998.9,103.966
1999.0,104.115
1999.1,104.264
1999.2,104.414
1999.3,104.563
1999.3,104.712
1999.4,104.862
1999.5,105.011
1999.6,105.160
1999.7,105.309
1999.8,105.459
1999.8,105.608
1999.9,105.757
2000.0,105.906
2000.1,106.055
2000.2,106.204
2000.3,106.353
2000.3,106.502
2000.4,106.651
2000.5,106.800
2000.6,106.949
2000.7,107.098
2000.8,107.247
2000.8,107.396
2000.9,107.545
2001.0,107.694
2001.1,107.842
2001.2,107.991
2001.3,108.140
2001.3,108.288
2001.4,108.437
2001.5,108.585
2001.6,108.734
2001.7,108.882
2001.8,109.031
2001.8,109.179
2001.9,109.328
2002.0,109.476
2002.1,109.624
2002.2,109.773
2002.3,109.921
2002.3,110.069
2002.4,110.217
2002.5,110.365
2002.6,110.513
2002.7,110.661
2002.8,110.809
2002.8,110.957
2002.9,111.105
2003.0,111.252
2003.1,111.400
2003.2,111.548
2003.3,111.695
2003.3,111.843
2003.4,111.990
2003.5,112.138
2003.6,112.285
2003.7,112.433
2003.8,112.580
2003.8,112.727
2003.9,112.874
2004.0,113.022
2004.1,113.169
2004.2,113.316
2004.3,113.463
2004.3,113.610
2004.4,113.756
2004.5,113.903
2004.6,114.050
2004.7,114.197
2004.8,114.343
2004.8,114.490
2004.9,114.636
2005.0,114.783
2005.1,114.929
2005.2,115.075
2005.3,115.221
2005.3,115.368
2005.4,115.514
2005.5,115.660
2005.6,115.806
2005.7,115.951
2005.8,116.097
2005.8,116.243
2005.9,116.389
2006.0,116.534
2006.1,116.680
2006.2,116.825
2006.3,116.971
2006.3,117.116
2006.4,117.261
2006.5,117.406
2006.6,117.551
